Date,Open,High,Low,Close,Adj Close,Volume
2017-01-23,42.175354,43.047195,41.957394,42.611275,41.772537,1623211
2017-01-24,42.665768,43.728325,42.665768,43.401382,42.547092,2803579
2017-01-25,43.510365,43.782814,42.938217,43.592098,42.734055,3122787
2017-01-27,43.646587,51.084492,43.646587,50.457851,49.464664,45884559
2017-01-30,50.076424,51.166225,49.422543,50.321629,49.331127,17647258
2017-01-31,50.130913,50.921021,46.616299,47.488140,46.553413,19334140
2017-02-01,47.951309,49.749481,47.515388,49.504276,48.529865,12838038
2017-02-02,49.259071,53.209606,48.659679,51.193470,50.185806,24532952
2017-02-03,51.465919,51.956333,50.376118,51.520412,50.506310,8428402
2017-02-06,51.820107,54.599102,51.574902,52.964397,51.921875,14001719
2017-02-07,53.345829,53.345829,49.449787,50.049175,49.064041,13854294
2017-02-08,50.376118,51.820107,49.586010,50.185402,49.197578,11251319
2017-02-09,50.403362,51.438675,49.340805,51.029999,50.025555,6710539
2017-02-10,51.220715,51.738373,50.348873,50.594078,49.598209,5862282
2017-02-13,50.975510,51.029999,49.041111,49.967442,48.983917,3914814
2017-02-14,50.076424,50.185402,48.659679,49.449787,48.476444,6104677
2017-02-15,49.858463,52.719193,49.722237,50.267139,49.277706,21391968
2017-02-16,50.512344,51.493168,49.586010,51.384186,50.372765,6326139
2017-02-17,51.711124,51.956333,50.893772,51.111736,50.105682,3374607
2017-02-20,51.220715,54.353897,51.029999,53.073380,52.028713,16147853
2017-02-21,53.345829,54.054199,52.773685,53.100624,52.055420,6668577
2017-02-22,53.182358,53.563789,51.247959,51.520412,50.506310,8602445
2017-02-23,51.493168,53.236851,51.166225,52.637459,51.601376,10935229
2017-02-27,52.746437,53.236851,51.547657,52.337765,51.307575,4548462
2017-02-28,52.310516,54.898800,51.820107,53.672771,52.616302,14953530
2017-03-01,53.945221,54.244919,52.937153,53.400318,52.349220,4400485
2017-03-02,53.591034,54.435631,50.703060,51.002754,49.998844,7200998
2017-03-03,50.784794,51.929089,50.648567,51.602146,50.586437,7195693
2017-03-06,51.792862,52.228783,51.247959,51.983578,50.960365,4110992
2017-03-07,52.119801,54.163181,51.874596,53.318584,52.269093,9477886
2017-03-08,53.400318,53.972466,51.193470,51.574902,50.559727,5870227
2017-03-09,51.411430,51.683880,50.566833,51.002754,49.998844,4135971
2017-03-10,51.220715,52.038067,50.539589,51.247959,50.239220,3994643
2017-03-14,52.882664,53.945221,52.174294,53.155113,52.108837,9306723
2017-03-15,53.209606,55.470943,52.610214,55.144005,54.058582,17509404
2017-03-16,55.825130,56.642483,55.470943,55.988602,54.886551,13066342
2017-03-17,56.397278,57.432590,55.688904,56.506256,55.394020,11861764
2017-03-20,56.451767,57.105648,55.498192,56.288296,55.180351,4024466
2017-03-21,56.233807,56.887688,55.307472,56.451767,55.340603,4831769
2017-03-22,55.797886,56.506256,55.307472,55.443699,54.352375,3989897
2017-03-23,55.525436,57.350853,55.389210,56.969421,55.848068,7976964
2017-03-24,57.323608,58.304432,56.860443,57.623302,56.489075,9503129
2017-03-27,57.705040,57.705040,56.015846,56.587994,55.474152,6254579
2017-03-28,57.214630,57.677795,56.587994,56.969421,55.848068,4754120
2017-03-29,57.187382,57.350853,56.506256,56.914932,55.794651,3481548
2017-03-30,57.023914,58.031979,56.751461,57.650551,56.515789,13591248
2017-03-31,57.950245,60.048115,57.323608,59.149029,57.984772,12821532
2017-04-03,59.312496,61.192410,58.822086,60.919956,59.720837,8702015
2017-04-05,61.028938,62.908848,60.347813,62.445679,61.216530,7965639
2017-04-06,62.227718,63.290276,62.037003,63.072315,61.830833,5980676
2017-04-07,62.391190,65.142944,62.282211,63.971405,62.712227,10240832
2017-04-10,64.271095,65.742332,63.916916,65.442635,64.154495,8917498
2017-04-11,65.306412,68.385101,64.598038,66.096519,64.795517,20987827
2017-04-12,64.570793,65.115700,59.830154,62.309456,61.082993,16831030
2017-04-13,62.609150,64.025894,61.110672,63.671707,62.418430,9209628
2017-04-17,62.690887,67.676735,62.690887,67.213570,65.890579,10923462
2017-04-18,67.567749,87.565628,67.567749,78.956184,77.402046,170150231
2017-04-19,77.866386,80.917831,75.223618,79.092415,77.535606,43424860
2017-04-20,79.446602,81.408241,78.193329,79.691803,78.123207,15559322
2017-04-21,79.828033,80.917831,78.302307,79.528336,77.962959,10015198
2017-04-24,79.501091,86.721031,79.010681,81.762428,80.153061,31232010
2017-04-25,82.062126,83.724075,80.808853,81.707939,80.099640,14660532
2017-04-26,81.844162,82.579781,63.862423,64.598038,63.326523,82181128
2017-04-27,66.314476,73.752380,61.410370,62.200474,60.976154,143366815
2017-04-28,63.644463,64.679771,58.467899,59.366989,58.198444,72140018
2017-05-02,59.857399,63.372013,58.059223,61.437614,60.228313,57251803
